run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,adversary_strategy,adversary_node_count,byzantine_fraction,view_change_count,clipped_fraction,run_horizon_s,throughput_ratio
casper-ffg-n10,casper-ffg,10,9,poisson,512,0.0,100.0,366df826,150.0,nan,nan,41.000000,81.726667,10.947805,10.947805,12247.709268,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.009662,230.000,0.822193
casper-ffg-n10,casper-ffg,10,10,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,40.000000,81.473333,11.107500,11.107500,12501.126000,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016393,230.000,0.802139
casper-ffg-n10,casper-ffg,10,11,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,38.466667,76.913333,11.294454,11.294454,12719.873137,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.017036,230.000,0.771390
casper-ffg-n10,casper-ffg,10,12,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,40.866667,82.186667,10.955628,10.955628,12207.735073,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.012882,230.000,0.819519
casper-ffg-n10,casper-ffg,10,13,poisson,512,0.0,100.0,366df826,150.0,nan,nan,40.466667,80.773333,11.010544,11.010544,12385.625041,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.016207,230.000,0.811497
casper-ffg-n10,casper-ffg,10,14,poisson,512,0.0,100.0,366df826,150.0,nan,nan,39.933333,78.653333,11.046411,11.046411,12239.663439,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.014803,230.000,0.800802
casper-ffg-n10,casper-ffg,10,15,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.533333,79.366667,11.111130,11.111130,12462.052614,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.008361,230.000,0.792781
casper-ffg-n10,casper-ffg,10,16,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,38.933333,77.553333,11.277740,11.277740,12700.097260,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.013514,230.000,0.780749
casper-ffg-n10,casper-ffg,10,17,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,42.200000,84.126667,10.697630,10.697630,11767.188626,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.010937,230.000,0.846257
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,41.266667,83.060000,10.882876,10.882876,12132.831664,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.011182,230.000,0.827540
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,39.466667,80.513333,11.166385,11.166385,12536.519595,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,1,0.100000,0,0.013333,230.000,0.791444
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,30.933333,61.026667,11.422629,11.422629,13896.783621,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.014862,230.000,0.620321
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,31.200000,61.753333,11.407692,11.407692,13901.507692,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.014737,230.000,0.625668
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,30.800000,61.626667,11.474026,11.474026,13967.205195,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.010707,230.000,0.617647
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,32.533333,64.893333,11.126434,11.126434,13265.387705,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.016129,230.000,0.652406
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,31.333333,62.733333,11.418511,11.418511,13844.274894,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.012605,230.000,0.628342
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,33.200000,66.193333,10.964458,10.964458,13249.380723,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.011905,230.000,0.665775
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,366df826,150.0,nan,nan,33.000000,66.720000,11.009091,11.009091,13288.516364,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.015905,230.000,0.661765
casper-ffg-n10,casper-ffg,10,7,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,32.466667,65.086667,11.099384,11.099384,13329.713347,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.010163,230.000,0.651070
casper-ffg-n10,casper-ffg,10,8,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,31.733333,63.933333,11.202731,11.202731,13598.145378,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.012448,230.000,0.636364
casper-ffg-n10,casper-ffg,10,9,poisson,512,0.0,100.0,366df826,150.0,nan,nan,34.333333,68.546667,10.859417,10.859417,13172.602718,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.005792,230.000,0.688503
casper-ffg-n10,casper-ffg,10,10,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,29.733333,60.326667,11.742377,11.742377,14450.424215,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.021930,230.000,0.596257
casper-ffg-n10,casper-ffg,10,11,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,30.600000,61.400000,11.519608,11.519608,13983.113725,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.015021,230.000,0.613636
casper-ffg-n10,casper-ffg,10,12,poisson,512,0.0,100.0,366df826,150.0,nan,nan,33.733333,68.000000,10.917391,10.917391,12983.464032,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.007843,230.000,0.676471
casper-ffg-n10,casper-ffg,10,13,poisson,512,0.0,100.0,366df826,150.0,nan,nan,32.266667,64.580000,11.216529,11.216529,13591.576860,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.020243,230.000,0.647059
casper-ffg-n10,casper-ffg,10,14,poisson,512,0.0,100.0,366df826,150.0,nan,nan,30.666667,60.346667,11.541522,11.541522,13882.531304,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.019190,230.000,0.614973
casper-ffg-n10,casper-ffg,10,15,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,31.733333,64.033333,11.282143,11.282143,13709.609244,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.008333,230.000,0.636364
casper-ffg-n10,casper-ffg,10,16,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,30.400000,60.806667,11.678289,11.678289,14191.460526,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.017241,230.000,0.609626
