run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,network_phase_id,e_delay_ms,slot_duration_ms,clipped_fraction,run_horizon_s,p_drop,finalized_instances,view_change_count,finalization_rate
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62412.761989649,62412.761989649,0.045000,7.532000,72.266667,72.266667,9857448.533333,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,5,0,0.125000
casper-ffg-n10,casper-ffg,10,7,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62519.551846648,62519.551846648,0.024000,4.400000,131.750000,131.750000,18481981.000000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,8,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62163.324977714,62163.324977714,0.020000,3.020000,135.850000,135.850000,21713252.200000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,9,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,64439.683590165,64439.683590165,0.035000,7.455000,80.800000,80.800000,12460853.028571,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,5,0,0.125000
casper-ffg-n10,casper-ffg,10,10,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.018000,2.908000,128.944444,128.944444,24087393.111111,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,11,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,12,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,61767.304954248,61767.304954248,0.024000,4.486000,121.708333,121.708333,18224032.833333,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,13,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62770.013752307,62770.013752307,0.016000,2.982000,183.312500,183.312500,27374593.250000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,14,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,15,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.044000,7.485000,67.295455,67.295455,9968484.818182,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,5,0,0.125000
casper-ffg-n10,casper-ffg,10,16,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,63807.202491722,63807.202491722,0.007000,1.538000,356.714286,356.714286,61417351.428571,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,17,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62394.534801154,62394.534801154,0.025000,4.559000,108.000000,108.000000,17665357.440000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.015000,3.006000,154.266667,154.266667,28822866.666667,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p05,3000.000,12000.000,0.000000,1150.000,0.050000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,63863.996257122,63863.996257122,0.007000,1.450000,300.142857,300.142857,59387678.285714,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
